time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
1.32782e-06;0;5;0;0.294074;
1.33782e-06;0;5;0;0.291146;
1.34782e-06;0;5;0;0.288247;
1.35782e-06;0;5;0;0.285377;
1.36782e-06;0;5;0;0.282536;
1.37782e-06;0;5;0;0.279722;
1.38782e-06;0;5;0;0.276937;
1.39782e-06;0;5;0;0.27418;
1.40782e-06;0;5;0;0.27145;
1.41782e-06;0;5;0;0.268747;
1.42782e-06;0;5;0;0.266071;
1.43782e-06;0;5;0;0.263421;
1.44782e-06;0;5;0;0.260799;
1.45782e-06;0;5;0;0.258202;
1.46782e-06;0;5;0;0.255631;
1.47782e-06;0;5;0;0.253085;
1.48782e-06;0;5;0;0.250565;
1.49782e-06;0;5;0;0.24807;
1.50782e-06;0;5;0;0.2456;
1.51782e-06;0;5;0;0.243155;
1.52782e-06;0;5;0;0.240734;
1.53782e-06;0;5;0;0.238337;
1.54782e-06;0;5;0;0.235964;
1.55782e-06;0;5;0;0.233614;
1.56782e-06;0;5;0;0.231288;
1.57782e-06;0;5;0;0.228985;
1.58782e-06;0;5;0;0.226705;
1.59782e-06;0;5;0;0.224448;
1.60782e-06;0;5;0;0.222213;
1.61782e-06;0;5;0;0.22;
1.62782e-06;0;5;0;0.217809;
1.63782e-06;0;5;0;0.215641;
1.64782e-06;0;5;0;0.213494;
1.65782e-06;0;5;0;0.211368;
1.66782e-06;0;5;0;0.209263;
1.67782e-06;0;5;0;0.207179;
1.68782e-06;0;5;0;0.205116;
1.69782e-06;0;5;0;0.203074;
1.70782e-06;0;5;0;0.201052;
1.71782e-06;0;5;0;0.19905;
1.72082e-06;0;5;0;0.198453;
1.72182e-06;0;0;0;0.198255;
1.72282e-06;0;0;0;0.198057;
1.72302e-06;1;0;0;0.198017;
1.72342e-06;3;0;0;0.197938;
1.72422e-06;5;0;0;0.197779;
1.72582e-06;5;0;0;0.197463;
1.72902e-06;5;0;0;0.196832;
1.73542e-06;5;0;0;0.195575;
